MESE,ANNO,REGIONE,PROVINCIA,COD_ISTAT_COMUNE,COMUNE,RESIDENTI
1,2025,ABRUZZO,TERAMO,067016,CERMIGNANO,1422
1,2025,ABRUZZO,TERAMO,067017,CIVITELLA DEL TRONTO,4548
1,2025,ABRUZZO,TERAMO,067018,COLLEDARA,2091
1,2025,ABRUZZO,TERAMO,067019,COLONNELLA,3713
1,2025,ABRUZZO,TERAMO,067020,CONTROGUERRA,2218
1,2025,ABRUZZO,TERAMO,067021,CORROPOLI,5119
1,2025,ABRUZZO,TERAMO,067022,CORTINO,564
1,2025,ABRUZZO,TERAMO,067023,CROGNALETO,1049
1,2025,ABRUZZO,TERAMO,067024,FANO ADRIANO,255
1,2025,ABRUZZO,TERAMO,067025,GIULIANOVA,23920
1,2025,ABRUZZO,TERAMO,067026,ISOLA DEL GRAN SASSO D'ITALIA,4471
1,2025,ABRUZZO,TERAMO,067047,MARTINSICURO,16560
1,2025,ABRUZZO,TERAMO,067027,MONTEFINO,918
1,2025,ABRUZZO,TERAMO,067028,MONTORIO AL VOMANO,7461
1,2025,ABRUZZO,TERAMO,067029,MORRO D'ORO,3590
1,2025,ABRUZZO,TERAMO,067030,MOSCIANO SANT'ANGELO,9302
1,2025,ABRUZZO,TERAMO,067031,NERETO,5478
1,2025,ABRUZZO,TERAMO,067032,NOTARESCO,6409
1,2025,ABRUZZO,TERAMO,067033,PENNA SANT'ANDREA,1647
1,2025,ABRUZZO,TERAMO,067034,PIETRACAMELA,198
1,2025,ABRUZZO,TERAMO,067035,PINETO,14966
1,2025,ABRUZZO,TERAMO,067036,ROCCA SANTA MARIA,447
1,2025,ABRUZZO,TERAMO,067037,ROSETO DEGLI ABRUZZI,26384
1,2025,ABRUZZO,TERAMO,067038,SANT'EGIDIO ALLA VIBRATA,9954
1,2025,ABRUZZO,TERAMO,067039,SANT'OMERO,5217
1,2025,ABRUZZO,TERAMO,067040,SILVI,15734
1,2025,ABRUZZO,TERAMO,067041,TERAMO,52570
1,2025,ABRUZZO,TERAMO,067042,TORANO NUOVO,1460
1,2025,ABRUZZO,TERAMO,067043,TORRICELLA SICURA,2396
1,2025,ABRUZZO,TERAMO,067044,TORTORETO,12172
1,2025,ABRUZZO,TERAMO,067045,TOSSICIA,1206
1,2025,ABRUZZO,TERAMO,067046,VALLE CASTELLANA,835
1,2025,BASILICATA,MATERA,077001,ACCETTURA,1589
1,2025,BASILICATA,MATERA,077002,ALIANO,841
1,2025,BASILICATA,MATERA,077003,BERNALDA,12152
1,2025,BASILICATA,MATERA,077004,CALCIANO,639
1,2025,BASILICATA,MATERA,077005,CIRIGLIANO,273
1,2025,BASILICATA,MATERA,077006,COLOBRARO,1054
1,2025,BASILICATA,MATERA,077007,CRACO,590
1,2025,BASILICATA,MATERA,077008,FERRANDINA,7935
1,2025,BASILICATA,MATERA,077009,GARAGUSO,903
1,2025,BASILICATA,MATERA,077010,GORGOGLIONE,835
1,2025,BASILICATA,MATERA,077011,GRASSANO,4607
1,2025,BASILICATA,MATERA,077012,GROTTOLE,1976
1,2025,BASILICATA,MATERA,077013,IRSINA,4431
1,2025,BASILICATA,MATERA,077014,MATERA,60095
1,2025,BASILICATA,MATERA,077015,MIGLIONICO,2383
1,2025,BASILICATA,MATERA,077016,MONTALBANO JONICO,6583
1,2025,BASILICATA,MATERA,077017,MONTESCAGLIOSO,9398
1,2025,BASILICATA,MATERA,077018,NOVA SIRI,6959
1,2025,BASILICATA,MATERA,077019,OLIVETO LUCANO,347
1,2025,BASILICATA,MATERA,077020,PISTICCI,16832
1,2025,BASILICATA,MATERA,077021,POLICORO,17754
1,2025,BASILICATA,MATERA,077022,POMARICO,3765
1,2025,BASILICATA,MATERA,077023,ROTONDELLA,2379
1,2025,BASILICATA,MATERA,077024,SALANDRA,2462
1,2025,BASILICATA,MATERA,077025,SAN GIORGIO LUCANO,1019
1,2025,BASILICATA,MATERA,077026,SAN MAURO FORTE,1250
1,2025,BASILICATA,MATERA,077031,SCANZANO JONICO,7632
1,2025,BASILICATA,MATERA,077027,STIGLIANO,3470
1,2025,BASILICATA,MATERA,077028,TRICARICO,4705
1,2025,BASILICATA,MATERA,077029,TURSI,4785
1,2025,BASILICATA,MATERA,077030,VALSINNI,1312
1,2025,BASILICATA,POTENZA,076001,ABRIOLA,1228
1,2025,BASILICATA,POTENZA,076002,ACERENZA,2054
1,2025,BASILICATA,POTENZA,076003,ALBANO DI LUCANIA,1287
1,2025,BASILICATA,POTENZA,076004,ANZI,1487
1,2025,BASILICATA,POTENZA,076005,ARMENTO,542
1,2025,BASILICATA,POTENZA,076006,ATELLA,3635
1,2025,BASILICATA,POTENZA,076007,AVIGLIANO,10501
1,2025,BASILICATA,POTENZA,076008,BALVANO,1671
1,2025,BASILICATA,POTENZA,076009,BANZI,1162
1,2025,BASILICATA,POTENZA,076010,BARAGIANO,2495
1,2025,BASILICATA,POTENZA,076011,BARILE,2540
1,2025,BASILICATA,POTENZA,076012,BELLA,4610
1,2025,BASILICATA,POTENZA,076013,BRIENZA,3913
1,2025,BASILICATA,POTENZA,076014,BRINDISI MONTAGNA,768
1,2025,BASILICATA,POTENZA,076015,CALVELLO,1786
1,2025,BASILICATA,POTENZA,076016,CALVERA,353
1,2025,BASILICATA,POTENZA,076017,CAMPOMAGGIORE,699
1,2025,BASILICATA,POTENZA,076018,CANCELLARA,1123
1,2025,BASILICATA,POTENZA,076019,CARBONE,487
1,2025,BASILICATA,POTENZA,076021,CASTELGRANDE,800
1,2025,BASILICATA,POTENZA,076022,CASTELLUCCIO INFERIORE,1888
1,2025,BASILICATA,POTENZA,076023,CASTELLUCCIO SUPERIORE,704
1,2025,BASILICATA,POTENZA,076024,CASTELMEZZANO,694
1,2025,BASILICATA,POTENZA,076025,CASTELSARACENO,1133
1,2025,BASILICATA,POTENZA,076026,CASTRONUOVO DI SANT'ANDREA,846
1,2025,BASILICATA,POTENZA,076027,CERSOSIMO,512
1,2025,BASILICATA,POTENZA,076028,CHIAROMONTE,1709
1,2025,BASILICATA,POTENZA,076029,CORLETO PERTICARA,2339
1,2025,BASILICATA,POTENZA,076030,EPISCOPIA,1291
1,2025,BASILICATA,POTENZA,076031,FARDELLA,572
1,2025,BASILICATA,POTENZA,076032,FILIANO,2661
1,2025,BASILICATA,POTENZA,076033,FORENZA,1769
1,2025,BASILICATA,POTENZA,076034,FRANCAVILLA IN SINNI,3936
1,2025,BASILICATA,POTENZA,076035,GALLICCHIO,763
1,2025,BASILICATA,POTENZA,076036,GENZANO DI LUCANIA,5198
1,2025,BASILICATA,POTENZA,076099,GINESTRA,665
1,2025,BASILICATA,POTENZA,076037,GRUMENTO NOVA,1536
1,2025,BASILICATA,POTENZA,076038,GUARDIA PERTICARA,508
1,2025,BASILICATA,POTENZA,076039,LAGONEGRO,4964
1,2025,BASILICATA,POTENZA,076040,LATRONICO,4016
1,2025,BASILICATA,POTENZA,076041,LAURENZANA,1558
1,2025,BASILICATA,POTENZA,076042,LAURIA,11726
1,2025,BASILICATA,POTENZA,076043,LAVELLO,12995
1,2025,BASILICATA,POTENZA,076044,MARATEA,4637
1,2025,BASILICATA,POTENZA,076045,MARSICO NUOVO,3797
1,2025,BASILICATA,POTENZA,076046,MARSICOVETERE,5728
1,2025,BASILICATA,POTENZA,076047,MASCHITO,1437
1,2025,BASILICATA,POTENZA,076048,MELFI,17137
1,2025,BASILICATA,POTENZA,076049,MISSANELLO,468
1,2025,BASILICATA,POTENZA,076050,MOLITERNO,3515
1,2025,BASILICATA,POTENZA,076051,MONTEMILONE,1402
1,2025,BASILICATA,POTENZA,076052,MONTEMURRO,1050
1,2025,BASILICATA,POTENZA,076053,MURO LUCANO,4874
1,2025,BASILICATA,POTENZA,076054,NEMOLI,1394
1,2025,BASILICATA,POTENZA,076055,NOEPOLI,728
1,2025,BASILICATA,POTENZA,076056,OPPIDO LUCANO,3533
1,2025,BASILICATA,POTENZA,076057,PALAZZO SAN GERVASIO,4369
1,2025,BASILICATA,POTENZA,076100,PATERNO,3003
1,2025,BASILICATA,POTENZA,076058,PESCOPAGANO,1626
1,2025,BASILICATA,POTENZA,076059,PICERNO,5616
1,2025,BASILICATA,POTENZA,076060,PIETRAGALLA,3805
1,2025,BASILICATA,POTENZA,076061,PIETRAPERTOSA,858
1,2025,BASILICATA,POTENZA,076062,PIGNOLA,6848
